id,name,address,number,picture,stars,quality,delivery,accuracy
99,"Carroll - Konopelski","91511 Parisian Square","591.413.4281 x44221","http://lorempixel.com/640/480/food",1,8,60,94
100,"Kuphal and Sons","7229 Dejuan Spring","1-051-129-3918 x00856","http://lorempixel.com/640/480/food",4,78,0,81
101,"Stark, Sporer and Howell","424 Simonis Street","(570) 456-6750 x88578","http://lorempixel.com/640/480/food",0,55,84,58
102,"Hyatt - Hansen","4659 Prohaska Landing","736-789-3758 x585","http://lorempixel.com/640/480/food",4,93,84,18
103,"Wyman, Brekke and Rowe","736 Kirstin Port","(225) 110-3397 x719","http://lorempixel.com/640/480/food",2,70,16,30
104,"Rau and Sons","2176 Altenwerth Shores","1-219-926-7809 x34356","http://lorempixel.com/640/480/food",5,97,60,50
105,"Bernhard, Rolfson and Hettinger","524 Sherwood Expressway","303-372-5464 x392","http://lorempixel.com/640/480/food",0,47,94,41
106,"Aufderhar LLC","0033 Harber Lane","954.378.1534 x331","http://lorempixel.com/640/480/food",3,32,53,5
107,"Hand Inc","15432 Jazmyn Coves","(128) 130-7202 x32986","http://lorempixel.com/640/480/food",3,22,6,86
108,"Koelpin and Sons","229 Norbert Summit","874.660.0921 x44790","http://lorempixel.com/640/480/food",1,40,16,60
109,"Prosacco, Gibson and Renner","32380 Tyrel Trafficway","300.987.2919","http://lorempixel.com/640/480/food",1,76,78,79
110,"Huel, Hickle and Boyle","4366 Edgardo Club","1-894-015-1244 x02713","http://lorempixel.com/640/480/food",0,25,94,29
111,"Lowe, O'Conner and Mayer","8005 Swaniawski Track","606.709.7153 x700","http://lorempixel.com/640/480/food",4,4,12,61
112,"Roob, Robel and Torphy","69352 Monahan Overpass","1-429-592-0497 x7311","http://lorempixel.com/640/480/food",2,78,46,63
113,"Ritchie, Koepp and Bauch","449 Gottlieb Via","479.863.5627","http://lorempixel.com/640/480/food",3,11,9,72
114,"Zboncak LLC","131 McKenzie Park","(699) 442-6462","http://lorempixel.com/640/480/food",0,37,24,13
115,"Walsh and Sons","2569 Stokes Streets","(038) 569-9496 x2146","http://lorempixel.com/640/480/food",0,72,54,11
116,"Rosenbaum - Kuhic","7673 Tony Mill","1-644-784-8400 x674","http://lorempixel.com/640/480/food",4,69,56,48
117,"Gottlieb Inc","74599 Beer Rapid","1-209-219-9346","http://lorempixel.com/640/480/food",3,88,34,12
118,"Collier, Dare and Mann","756 Bechtelar Hollow","263-732-0818","http://lorempixel.com/640/480/food",0,91,7,56
119,"Tillman, Ryan and Heller","513 Predovic Views","(987) 413-7925","http://lorempixel.com/640/480/food",3,96,47,50
120,"Lesch LLC","67759 Haag Mountain","585.900.2232 x7684","http://lorempixel.com/640/480/food",0,22,54,57
121,"Orn - Kulas","321 Ronny Mission","424.541.4314 x3728","http://lorempixel.com/640/480/food",3,75,78,7
122,"Jast LLC","20252 Bechtelar Loop","(274) 708-2608 x82952","http://lorempixel.com/640/480/food",1,27,66,34
123,"Rohan Group","05349 Spinka Meadows","534.584.7037","http://lorempixel.com/640/480/food",0,77,64,93
124,"Dibbert, Abernathy and King","8370 Ebert Crossroad","(622) 213-6802 x72016","http://lorempixel.com/640/480/food",3,57,79,17
125,"Turner, Ledner and Moen","291 Vincenzo Square","1-724-240-9216 x439","http://lorempixel.com/640/480/food",0,57,60,16
126,"Heidenreich, Casper and Kassulke","3903 Aron Burgs","449.208.4651 x049","http://lorempixel.com/640/480/food",3,56,45,93
127,"Rath - Wisoky","923 Bruen Oval","(427) 161-3927 x59979","http://lorempixel.com/640/480/food",3,62,55,73
128,"Fahey and Sons","33667 Parisian Gardens","188-447-4122","http://lorempixel.com/640/480/food",2,24,14,46
129,"Wisozk Group","6876 Cole Vista","915.229.8426 x998","http://lorempixel.com/640/480/food",5,20,85,1
130,"Abernathy, Ullrich and Upton","359 Avery Dam","(418) 797-4108 x69925","http://lorempixel.com/640/480/food",3,43,8,58
131,"Wiza - Rau","35576 Lizzie Mission","689.858.5920 x4462","http://lorempixel.com/640/480/food",3,90,71,26
132,"Hoppe, O'Connell and Cremin","489 Bessie Springs","406.777.6624","http://lorempixel.com/640/480/food",1,28,67,14
133,"Howe - Swaniawski","36136 Irwin Grove","(241) 190-5603 x7919","http://lorempixel.com/640/480/food",3,53,97,91
134,"Stamm - Johns","47397 Fritsch Walk","012.287.9720 x0017","http://lorempixel.com/640/480/food",0,73,90,17
135,"Trantow, Schultz and Metz","8716 Hansen Drive","553-400-0145","http://lorempixel.com/640/480/food",3,69,5,48
136,"Klocko LLC","24781 Cummerata Plaza","1-819-828-1529 x00244","http://lorempixel.com/640/480/food",3,82,100,99
137,"Emard - Spinka","604 Charles Village","1-343-951-4674 x078","http://lorempixel.com/640/480/food",4,84,40,53
138,"Swift Group","203 Abbott Place","(323) 066-6509","http://lorempixel.com/640/480/food",3,4,79,47
139,"Hyatt and Sons","049 Vernice Avenue","465.773.2948 x44603","http://lorempixel.com/640/480/food",2,27,31,62
140,"Kuhn Group","8513 Bobby Oval","1-525-742-4813","http://lorempixel.com/640/480/food",0,42,92,84
141,"Konopelski - Kub","959 Trantow Manor","(321) 817-2946 x97279","http://lorempixel.com/640/480/food",3,9,88,100
142,"Mann - Steuber","4956 Hahn Glen","1-117-146-3230 x97709","http://lorempixel.com/640/480/food",4,41,47,94
143,"Schulist, Ondricka and Anderson","45089 Celestino Lodge","786-498-5749 x192","http://lorempixel.com/640/480/food",5,98,61,46
144,"Aufderhar Group","1627 Schmeler Gateway","(629) 139-0941 x0684","http://lorempixel.com/640/480/food",1,38,2,31
145,"Hickle - Oberbrunner","5507 Dooley Forest","1-429-831-6157","http://lorempixel.com/640/480/food",2,30,60,93
146,"Gorczany - Wolff","26701 Lynch Highway","1-535-097-2073","http://lorempixel.com/640/480/food",5,34,46,19
147,"Bins - Turner","94725 Ayden Lights","649.668.3169 x81923","http://lorempixel.com/640/480/food",1,65,51,8
148,"Monahan - Gusikowski","53148 Turner Plains","171-268-9973 x9215","http://lorempixel.com/640/480/food",1,80,80,86
149,"Schamberger - O'Conner","76088 Ernser Prairie","1-871-780-1151 x4721","http://lorempixel.com/640/480/food",4,60,77,95
150,"Rodriguez, Greenfelder and Greenholt","252 Pacocha Roads","(638) 240-4378 x68714","http://lorempixel.com/640/480/food",5,95,83,49
151,"Gaylord Inc","997 Purdy Shores","230-035-2251","http://lorempixel.com/640/480/food",2,23,56,35
152,"Reichert, Cummings and Boyer","22978 Altenwerth Spring","257-728-8502 x925","http://lorempixel.com/640/480/food",0,2,60,64
153,"Blick LLC","9769 Muriel Isle","384-654-7082","http://lorempixel.com/640/480/food",0,37,89,34
154,"Jenkins, Franecki and Stamm","1816 Forest Shore","(158) 590-5168 x139","http://lorempixel.com/640/480/food",5,59,75,13
155,"Willms, Bradtke and Padberg","6083 McCullough Hollow","(993) 794-1443 x682","http://lorempixel.com/640/480/food",4,22,18,33
156,"Hayes - Trantow","906 Hills Fords","617-928-7446","http://lorempixel.com/640/480/food",4,87,69,65
157,"Leuschke - Johnston","89704 Miller Neck","616.541.5081","http://lorempixel.com/640/480/food",3,26,95,4
158,"Ferry Group","299 Alexandrine Vista","(709) 200-8835 x166","http://lorempixel.com/640/480/food",5,95,53,43
159,"Krajcik, Kassulke and Kuvalis","206 Nayeli Rest","384-711-1957 x476","http://lorempixel.com/640/480/food",0,58,88,95
160,"Gorczany - Stamm","22072 Bogisich Cliff","1-235-282-1007","http://lorempixel.com/640/480/food",4,79,62,35
161,"Streich - Rohan","47433 Rutherford Dam","(369) 273-3186","http://lorempixel.com/640/480/food",1,14,44,58
162,"Quigley - Lang","611 Madie Lane","744.103.2279","http://lorempixel.com/640/480/food",4,32,19,39
163,"Mante, Schneider and Fadel","078 Geovanny Ferry","396-499-1212 x2579","http://lorempixel.com/640/480/food",2,57,20,26
164,"Schuster, Dickens and Spinka","8174 Scottie Parkway","499.381.2181 x883","http://lorempixel.com/640/480/food",4,64,4,51
165,"Kutch, Gulgowski and Torphy","52590 Boyle Trail","293-071-8309 x222","http://lorempixel.com/640/480/food",2,70,1,12
166,"Rempel, Reinger and Anderson","779 Rae Stream","818.765.2674 x423","http://lorempixel.com/640/480/food",1,82,52,44
167,"Sipes Group","480 Niko Point","1-393-829-1027","http://lorempixel.com/640/480/food",3,66,37,30
168,"Mertz, Pacocha and Will","062 Hayes Greens","(737) 566-6602 x4379","http://lorempixel.com/640/480/food",2,48,34,22
169,"Gerlach - Bode","011 Mitchell Ferry","1-339-966-2850 x6666","http://lorempixel.com/640/480/food",1,18,46,92
170,"Kerluke Group","7199 Talon Freeway","1-459-657-1333 x94388","http://lorempixel.com/640/480/food",4,75,39,27
171,"Ferry - Koss","4759 Zena Way","124-318-3060 x5681","http://lorempixel.com/640/480/food",4,43,43,77
172,"West - Beahan","431 Towne Inlet","1-277-531-1795","http://lorempixel.com/640/480/food",0,96,59,68
173,"Block - Jerde","44723 Koepp Plaza","794.924.7205","http://lorempixel.com/640/480/food",3,37,42,48
174,"Zboncak Group","430 Robyn Manor","1-933-995-0936 x66882","http://lorempixel.com/640/480/food",3,65,25,81
175,"Kling - Ebert","0571 Wilderman Roads","655.069.4811 x435","http://lorempixel.com/640/480/food",4,66,6,38
176,"Dare LLC","2830 Baumbach Port","(062) 658-1281 x58838","http://lorempixel.com/640/480/food",0,83,91,74
177,"Heathcote - Olson","861 Vena Fort","(539) 293-1529 x4891","http://lorempixel.com/640/480/food",4,46,44,12
178,"Zboncak Group","87751 Gleichner Lane","985.300.4505 x64498","http://lorempixel.com/640/480/food",3,86,99,12
179,"Weber - VonRueden","90842 Jamison Row","812.222.6678 x71497","http://lorempixel.com/640/480/food",4,26,33,57
180,"Wolff - Ritchie","01269 Hilll Cliffs","(813) 066-3721","http://lorempixel.com/640/480/food",3,0,75,81
181,"Morissette - Walsh","4832 Sawayn Shoals","101.639.2612","http://lorempixel.com/640/480/food",1,45,95,98
182,"Olson - Hyatt","39931 Boyer River","399.114.9379","http://lorempixel.com/640/480/food",4,28,22,40
183,"Mills Group","19194 Schowalter Springs","(976) 705-9827 x1520","http://lorempixel.com/640/480/food",0,4,57,57
184,"Harber, Abbott and Boyle","810 Cummings Corners","355.664.1239 x385","http://lorempixel.com/640/480/food",1,46,73,46
185,"Schneider, Macejkovic and Adams","1136 Rogahn Pine","529.515.4671 x493","http://lorempixel.com/640/480/food",4,49,60,31
186,"Thompson - Collins","017 Rogahn Underpass","712.388.9849","http://lorempixel.com/640/480/food",2,77,17,59
187,"Erdman - Gislason","39334 Torey Terrace","418-739-6632 x06368","http://lorempixel.com/640/480/food",4,88,98,53
188,"Dickens, Herzog and Beer","392 Raphaelle Avenue","(629) 191-2187 x1177","http://lorempixel.com/640/480/food",2,34,80,27
189,"Padberg, Rutherford and McLaughlin","5174 Bogan Ways","380-620-8172","http://lorempixel.com/640/480/food",1,4,37,97
190,"Raynor, Dach and Fahey","112 Hodkiewicz Gateway","174-870-5713 x94825","http://lorempixel.com/640/480/food",1,40,1,95
191,"Grant - Schiller","2280 Virginie Radial","1-597-633-1826 x172","http://lorempixel.com/640/480/food",4,36,6,53
192,"Kautzer - Goyette","75470 Effertz River","1-938-285-3256","http://lorempixel.com/640/480/food",5,42,30,26
193,"Renner, Schaefer and Hudson","5484 Karolann Dale","(542) 607-5137","http://lorempixel.com/640/480/food",4,72,98,39
194,"Conn and Sons","054 Providenci Motorway","806.170.6130","http://lorempixel.com/640/480/food",2,1,23,74
195,"Franecki - Kshlerin","089 Lind Mountains","738-829-6070 x04126","http://lorempixel.com/640/480/food",5,23,48,53
196,"Morar - Wehner","4129 Willms Ridges","1-548-451-8396","http://lorempixel.com/640/480/food",5,43,68,37
197,"Kozey, Mertz and Hirthe","62422 Maggio Ridge","1-863-940-8886 x77026","http://lorempixel.com/640/480/food",4,85,44,33
198,"Waelchi, Sporer and Hand","45701 Koepp Ford","675.503.3743 x528","http://lorempixel.com/640/480/food",1,70,54,50
199,"Frami - Bauch","26035 Zion Light","(591) 157-1350 x535","http://lorempixel.com/640/480/food",3,1,30,79
200,"Kling and Sons","31731 Wisozk Coves","1-491-649-2064 x631","http://lorempixel.com/640/480/food",1,59,94,49
201,"Collins Inc","215 Diamond Manor","660.030.9381","http://lorempixel.com/640/480/food",5,90,26,62
202,"Crona - Mills","35932 Runolfsson Burg","1-237-396-2380","http://lorempixel.com/640/480/food",1,20,91,97
203,"Auer Group","8170 Kihn Turnpike","147.391.3282 x8657","http://lorempixel.com/640/480/food",1,82,13,47
204,"Labadie LLC","62328 Dean Trafficway","1-630-021-9711 x7276","http://lorempixel.com/640/480/food",2,84,75,98
205,"Nicolas LLC","7973 Hamill Neck","194.769.6552","http://lorempixel.com/640/480/food",0,2,73,0
206,"Krajcik Group","584 Crooks Spring","499.140.8210 x0471","http://lorempixel.com/640/480/food",3,2,20,78
207,"Kemmer, Mertz and Goyette","490 Ruecker Mission","346.796.9186 x4738","http://lorempixel.com/640/480/food",5,20,50,39
208,"Ondricka, Schaden and Barton","24633 Abigail Villages","1-979-359-5904 x43412","http://lorempixel.com/640/480/food",0,73,48,59
209,"Stanton Inc","3095 Macejkovic River","750.701.1525 x3206","http://lorempixel.com/640/480/food",0,74,7,48
210,"Howell Group","01683 Scotty Drives","1-484-172-6000 x4946","http://lorempixel.com/640/480/food",4,52,78,62
211,"Kertzmann Inc","4259 Bosco Turnpike","(731) 180-0802 x00892","http://lorempixel.com/640/480/food",1,26,40,52
212,"Barton, Hauck and Nitzsche","973 O'Keefe Inlet","1-903-687-6406 x734","http://lorempixel.com/640/480/food",4,13,60,22
213,"Quigley - Greenholt","788 Breitenberg Mountains","565.074.1150","http://lorempixel.com/640/480/food",3,81,87,61
214,"Walker, DuBuque and Ebert","559 Ledner Locks","(983) 516-2006","http://lorempixel.com/640/480/food",5,59,50,25
215,"Rice - Gottlieb","503 Deckow Village","1-549-971-5909 x43830","http://lorempixel.com/640/480/food",3,26,16,24
216,"Fadel LLC","50590 Lockman Curve","(764) 396-0618 x3317","http://lorempixel.com/640/480/food",3,33,34,60
217,"Weissnat - Volkman","51495 Alberta Prairie","1-120-249-1066 x17387","http://lorempixel.com/640/480/food",4,40,93,84
218,"Rogahn LLC","235 Floyd Shoal","346.364.9303 x26292","http://lorempixel.com/640/480/food",4,53,46,91
219,"Cole, Gusikowski and Abernathy","425 Ahmad Center","243.677.2654 x472","http://lorempixel.com/640/480/food",4,45,38,59
220,"Ortiz - Price","150 Morissette Village","1-511-809-7048","http://lorempixel.com/640/480/food",5,4,19,75
221,"Reilly, Keebler and Wiza","469 Halvorson Prairie","1-998-263-1607","http://lorempixel.com/640/480/food",1,32,42,15
222,"VonRueden - Heathcote","5052 Vinnie Crossroad","(936) 868-1876 x19810","http://lorempixel.com/640/480/food",2,52,2,30
223,"Macejkovic - Quitzon","18568 Macie Hills","379.484.6115 x0501","http://lorempixel.com/640/480/food",0,72,85,94
224,"Wehner, Moen and Reichel","473 O'Kon Stravenue","(817) 604-6198","http://lorempixel.com/640/480/food",5,19,18,17
225,"Heller - Bode","9794 Santina Ridges","351.606.2271","http://lorempixel.com/640/480/food",3,0,75,15
226,"Weissnat, Kutch and Deckow","6520 Altenwerth Neck","458.938.4484 x6746","http://lorempixel.com/640/480/food",3,24,30,90
227,"Funk - Ullrich","88063 Parker Brook","487.099.5456 x4209","http://lorempixel.com/640/480/food",2,2,50,51
228,"Zulauf, McClure and Smitham","864 Mertz Land","(053) 733-6624 x88402","http://lorempixel.com/640/480/food",1,3,47,9
229,"Stoltenberg - Hand","787 Effertz Place","336-621-4825 x30113","http://lorempixel.com/640/480/food",1,15,68,56
230,"Cassin - Johns","4983 Brandon Trace","1-268-447-7515","http://lorempixel.com/640/480/food",2,28,15,82
231,"Bayer, Schmitt and Dare","67089 Wunsch Pines","963-044-5826 x18595","http://lorempixel.com/640/480/food",1,99,42,10
232,"Schmitt and Sons","1507 Destin Pines","(446) 630-0454","http://lorempixel.com/640/480/food",2,61,58,3
